,label,predictions,scores
159,True,True,0.5
160,True,True,0.6592
161,True,True,0.8036
162,True,True,0.5645
163,True,True,0.7578
164,True,True,0.7354
165,True,False,0.4038
166,True,True,0.696
167,True,True,0.5852
168,True,True,0.8281
169,True,True,0.9205
170,True,True,0.5
171,True,True,0.7561
172,True,False,0.306
173,True,True,0.673
174,True,True,0.5
175,True,True,0.8603
176,True,True,0.8394
177,True,True,0.8031
178,True,True,0.9251
179,True,True,0.8712
180,True,False,0.4454
181,True,True,0.8236
182,True,True,0.7924
183,True,True,0.5171
184,True,False,0.4531
185,True,True,0.6779
186,True,True,0.6569
187,True,False,0.4855
188,True,False,0.4611
189,True,True,0.7463
190,True,True,0.5
191,True,True,0.5
192,True,True,0.902
193,True,True,0.9153
194,True,True,0.8564
195,True,True,0.5
196,True,True,0.5
197,True,True,0.9768
198,True,True,0.8657
199,True,True,0.9048
200,True,True,0.89
201,True,True,0.9597
202,True,True,0.8624
203,True,True,0.933
204,True,True,0.5
205,True,True,0.8812
206,True,True,0.8066
207,True,True,0.9492
208,True,True,0.9485
209,True,True,0.9466
210,True,True,0.9142
211,True,True,0.9579
212,True,True,0.9688
213,True,True,0.7456
214,True,False,0.4477
215,True,True,0.9061
216,True,False,0.4792
217,True,True,0.6976
218,True,True,0.9009
219,True,True,0.6854
220,True,True,0.7707
221,True,True,0.8129
222,True,True,0.9413
223,True,True,0.9015
224,True,True,0.9686
225,True,True,0.982
226,True,True,0.974
227,True,True,0.5
228,True,True,0.5
229,True,True,0.8726
230,True,True,0.8119
231,True,True,0.5
232,True,True,0.613
233,True,True,0.8314
234,True,True,0.6545
235,True,True,0.5958
236,True,True,0.5903
237,True,True,0.6153
238,True,True,0.5799
239,True,True,0.5
240,True,True,0.8161
241,True,True,0.7842
242,True,True,0.7307
243,True,True,0.8118
244,True,True,0.8294
245,True,True,0.8659
246,True,True,0.5
247,True,True,0.7878
248,True,True,0.8597
249,True,True,0.7568
250,True,True,0.713
251,True,True,0.5
252,True,True,0.8091
253,True,True,0.5
254,True,True,0.8451
255,True,True,0.899
256,True,True,0.7242
257,True,True,0.7381
258,True,True,0.809
259,True,True,0.9078
260,True,True,0.9054
261,True,True,0.5
262,True,True,0.8795
263,True,True,0.8593
264,True,True,0.899
265,True,True,0.5992
266,True,True,0.5526
267,True,True,0.5912
268,True,True,0.5272
269,True,False,0.4669
270,True,True,0.5
271,True,False,0.4998
272,True,False,0.3459
273,True,False,0.4631
274,True,False,0.1301
275,True,False,0.4464
276,True,True,0.9858
277,True,True,0.9674
278,True,True,0.9519
279,True,True,0.5889
280,True,True,0.5129
281,True,True,0.5
282,True,True,0.9361
283,True,True,0.5
284,True,True,0.9804
285,True,True,0.9607
286,True,True,0.9335
287,True,True,0.5
288,True,True,0.9355
289,True,True,0.9644
290,True,True,0.9789
291,True,True,0.847
292,True,True,0.9603
293,True,False,0.4638
294,True,False,0.4055
295,True,False,0.1505
296,True,False,0.2308
297,True,False,0.3693
298,True,False,0.43
299,True,False,0.472
300,True,True,0.8201
301,True,True,0.5
302,True,True,0.5
303,True,True,0.6334
304,True,True,0.6199
305,True,True,0.649
306,True,True,0.5347
307,True,True,0.6824
308,True,True,0.7468
309,True,True,0.5
310,True,True,0.5
311,True,False,0.4549
312,True,True,0.8357
313,True,True,0.858
314,True,True,0.8397
315,True,True,0.7856
316,True,True,0.9711
317,True,True,0.9757
318,True,True,0.9504
319,True,True,0.9683
320,True,True,0.9457
321,True,True,0.9604
322,True,True,0.9473
323,True,True,0.9796
324,True,True,0.776
325,True,True,0.6814
326,True,True,0.5
327,True,True,0.8036
328,True,True,0.5
329,True,True,0.5
330,True,True,0.9664
331,True,True,0.8998
332,True,True,0.5
333,True,True,0.9476
334,True,True,0.9764
335,True,True,0.9646
336,True,True,0.942
337,True,True,0.9484
338,True,False,0.2892
339,True,True,0.5
340,True,True,0.7142
341,True,True,0.7597
342,True,True,0.8866
343,True,True,0.5
344,True,True,0.921
345,True,True,0.8921
346,True,True,0.9214
347,True,True,0.9413
348,True,True,0.8481
349,True,True,0.5
350,True,True,0.5
351,True,True,0.9176
352,True,True,0.9027
353,True,True,0.9458
354,True,True,0.9636
355,True,True,0.9094
356,True,True,0.5
357,True,True,0.9327
358,True,True,0.5
359,True,True,0.7198
360,True,True,0.7898
361,True,True,0.669
362,True,True,0.7623
363,True,True,0.7887
364,True,True,0.8429
365,True,True,0.814
366,True,False,0.3755
367,True,True,0.8369
368,True,True,0.5
369,True,True,0.816
370,True,True,0.8457
371,True,True,0.5
372,True,True,0.7733
373,True,True,0.8434
374,True,True,0.5
375,True,True,0.7713
376,True,True,0.8078
377,True,True,0.7524
378,True,True,0.7713
379,True,True,0.8086
380,True,True,0.7344
381,True,True,0.8212
382,True,True,0.5
383,True,True,0.7652
384,True,True,0.5
385,True,True,0.7713
386,True,True,0.8121
387,True,True,0.7543
388,True,True,0.8552
389,True,True,0.9085
390,True,True,0.8684
391,True,True,0.8343
392,True,True,0.8654
393,True,True,0.83
394,True,True,0.5
395,True,True,0.8842
396,True,True,0.8832
397,True,True,0.8587
398,True,True,0.8855
399,True,True,0.8412
400,True,True,0.5
401,True,True,0.8239
402,True,True,0.8853
403,True,True,0.5
404,True,True,0.8829
405,True,True,0.8862
406,True,True,0.8181
407,True,True,0.9023
408,True,True,0.8993
409,True,True,0.5
410,True,True,0.6829
411,True,True,0.835
412,True,True,0.7351
413,True,True,0.7533
414,True,True,0.5419
415,True,True,0.6809
416,True,True,0.8391
417,True,True,0.7193
418,True,True,0.843
419,True,True,0.8062
420,True,True,0.5
421,True,True,0.5
422,True,True,0.773
423,True,True,0.7328
424,True,True,0.7007
425,True,True,0.5
426,True,True,0.7191
427,True,True,0.5
428,True,True,0.8492
429,True,True,0.8341
430,True,True,0.9482
431,True,True,0.7072
432,True,True,0.6845
433,True,True,0.7337
434,True,True,0.6521
435,True,True,0.8174
436,True,True,0.6841
437,True,True,0.9779
438,True,True,0.6584
439,True,True,0.5
440,True,False,0.4468
441,True,True,0.8757
442,True,True,0.7421
443,True,True,0.5
444,True,True,0.92
445,True,True,0.5
446,True,True,0.9095
447,True,True,0.5
448,True,True,0.9036
449,True,True,0.7225
450,True,True,0.556
451,True,True,0.9417
452,True,True,0.7849
453,True,True,0.8071
454,True,True,0.8623
455,True,True,0.598
456,True,True,0.6533
457,True,False,0.4579
458,True,True,0.5
459,True,True,0.8215
460,True,True,0.8154
461,True,True,0.6524
462,True,True,0.5
463,True,True,0.5
464,True,True,0.5
465,True,True,0.9113
466,True,True,0.6431
467,True,True,0.59
468,True,True,0.6167
469,True,True,0.6246
470,True,True,0.8315
471,True,True,0.8511
472,True,True,0.6168
473,True,True,0.7571
474,True,True,0.5
475,True,True,0.8433
476,True,True,0.7132
477,True,True,0.6945
478,True,True,0.7114
479,True,True,0.9513
480,True,True,0.5926
481,True,True,0.8693
482,True,True,0.7612
483,True,True,0.8793
484,True,True,0.838
485,True,True,0.5814
486,True,True,0.5
487,True,True,0.5
488,True,True,0.6939
489,True,True,0.9611
490,True,True,0.8942
491,True,True,0.954
492,True,True,0.8961
493,True,True,0.5
494,True,True,0.9214
495,True,True,0.8212
496,True,False,0.4074
497,True,True,0.5917
498,True,True,0.5424
499,True,True,0.5
500,True,True,0.5
501,True,True,0.9277
502,True,True,0.5
503,True,True,0.9067
504,True,True,0.8394
505,True,True,0.957
506,True,True,0.9651
507,True,True,0.5709
508,True,True,0.5451
509,True,True,0.5
510,True,True,0.8506
511,True,True,0.8753
512,True,True,0.8351
513,True,True,0.8807
514,True,True,0.5
515,True,True,0.8702
516,True,True,0.809
517,True,True,0.9349
518,True,True,0.773
519,True,True,0.8679
520,True,True,0.8024
521,True,True,0.8092
522,True,True,0.8212
523,True,True,0.8149
524,True,True,0.8215
525,True,True,0.5
526,True,True,0.8992
527,True,True,0.838
528,True,True,0.8441
529,True,True,0.5
530,True,True,0.8842
531,True,True,0.7726
532,True,True,0.7594
533,True,True,0.714
534,True,True,0.5
535,True,True,0.8219
536,True,True,0.7451
537,True,True,0.5
538,True,False,0.2752
539,True,True,0.856
540,True,True,0.8834
541,True,False,0.2526
542,True,True,0.6238
543,True,True,0.5
544,True,True,0.847
545,True,True,0.5561
546,True,True,0.6884
547,True,True,0.818
548,True,True,0.8604
549,True,True,0.7777
550,True,True,0.7841
551,True,True,0.9409
552,True,True,0.7351
553,True,True,0.9119
554,True,True,0.8851
555,True,True,0.9047
556,True,True,0.9134
557,True,True,0.7581
558,True,False,0.4354
559,True,True,0.7323
560,True,True,0.5828
561,True,True,0.5332
562,True,True,0.5
563,True,True,0.8809
564,True,True,0.814
565,True,True,0.6336
566,True,True,0.5
567,True,True,0.5
568,True,True,0.784
569,True,True,0.9441
570,True,False,0.2044
571,True,True,0.7576
572,True,True,0.6404
573,True,True,0.5578
574,True,True,0.5156
575,True,True,0.5156
576,True,True,0.5
577,True,True,0.6361
578,True,True,0.7065
579,True,True,0.7065
580,True,True,0.6587
581,True,True,0.7992
582,True,True,0.893
583,True,True,0.5
584,True,True,0.8277
585,True,True,0.9087
586,True,True,0.9162
587,True,False,0.2849
588,True,True,0.5588
589,True,True,0.5
590,True,True,0.6337
591,True,True,0.5796
592,True,True,0.8504
593,True,True,0.8997
594,True,True,0.6946
595,True,True,0.6572
596,True,True,0.5
597,True,False,0.3187
598,True,False,0.4892
599,True,False,0.4656
600,True,True,0.5
601,True,False,0.4547
602,True,True,0.5
603,True,False,0.4216
604,True,True,0.6056
605,True,True,0.5306
606,True,True,0.6155
607,True,True,0.5144
608,True,True,0.6301
609,True,True,0.6565
610,True,True,0.7428
611,True,True,0.8104
612,True,True,0.6737
613,True,True,0.6487
614,True,False,0.4673
615,True,True,0.6673
616,True,True,0.6441
617,True,True,0.5
618,True,True,0.723
619,True,False,0.1032
620,True,False,0.1935
621,True,False,0.0993
622,True,False,0.1808
623,True,False,0.0794
624,True,False,0.421
625,True,True,0.5
626,True,False,0.2088
627,True,True,0.5
628,True,True,0.841
629,True,True,0.8141
630,True,True,0.8434
631,True,True,0.5
632,True,True,0.8219
633,True,True,0.8959
634,True,True,0.8749
635,True,True,0.9002
636,True,True,0.5
637,True,True,0.88
638,True,True,0.6645
639,True,True,0.5
640,True,True,0.8078
641,True,True,0.5787
642,True,True,0.8373
643,True,True,0.7989
644,True,True,0.8517
645,True,True,0.5
646,True,False,0.2385
647,True,False,0.0338
648,True,True,0.5
649,True,False,0.4577
650,True,False,0.0724
651,True,False,0.2566
652,True,False,0.391
653,True,True,0.5
654,True,False,0.2741
655,True,True,0.7941
656,True,True,0.9185
657,True,True,0.5
658,True,True,0.7986
659,True,True,0.8498
660,True,True,0.9033
661,True,True,0.8971
662,True,True,0.7106
663,True,True,0.5
664,True,True,0.7883
665,True,True,0.7833
666,True,True,0.5
667,True,True,0.8825
668,True,True,0.5
669,True,True,0.6617
670,True,True,0.7212
671,True,True,0.7518
672,True,True,0.9053
673,True,True,0.6489
674,True,True,0.7629
675,True,True,0.5
676,True,True,0.898
677,True,True,0.8426
678,True,True,0.6182
679,True,True,0.8532
680,True,True,0.8902
681,True,True,0.9035
682,True,True,0.6806
683,True,True,0.5
684,True,True,0.8626
685,True,True,0.5
686,True,True,0.8192
687,True,True,0.7073
688,True,True,0.9396
689,True,True,0.8921
690,True,True,0.7898
691,True,True,0.8625
692,True,True,0.9705
693,True,True,0.5
694,True,True,0.5
695,True,True,0.5
696,True,True,0.5
697,True,True,0.9362
698,True,True,0.8825
699,True,True,0.9238
700,True,True,0.8297
701,True,True,0.5
702,True,True,0.5
703,True,True,0.8334
704,True,True,0.5
705,True,True,0.8757
706,True,True,0.8714
707,True,True,0.932
708,True,True,0.9042
709,True,True,0.8063
710,True,True,0.932
711,True,True,0.9497
712,True,True,0.5
713,True,True,0.9511
714,True,True,0.9542
715,True,True,0.5
716,True,True,0.5275
717,True,True,0.5889
718,True,False,0.4478
719,True,True,0.6573
720,True,True,0.6305
721,True,True,0.622
722,True,True,0.6175
723,True,True,0.6345
724,True,True,0.5
725,True,True,0.8593
726,True,True,0.7792
727,True,True,0.8596
728,True,False,0.4544
729,True,True,0.5
730,True,True,0.8666
731,True,True,0.7659
732,True,True,0.9429
733,True,True,0.6891
734,True,True,0.7125
735,True,True,0.8973
736,True,True,0.9555
737,True,True,0.9046
738,True,True,0.9734
739,True,True,0.918
740,True,True,0.9765
741,True,True,0.9414
742,True,True,0.9482
743,True,True,0.5
744,True,True,0.8046
745,True,True,0.9816
746,True,True,0.5
747,True,True,0.8729
748,True,True,0.8396
749,True,True,0.9691
750,True,True,0.9216
751,True,True,0.8742
752,True,True,0.9231
753,True,True,0.8988
754,True,True,0.8588
755,True,True,0.6529
756,True,True,0.9595
757,True,True,0.8453
758,True,True,0.9085
759,True,True,0.7987
760,True,True,0.7433
761,True,True,0.9417
762,True,True,0.5
763,True,True,0.5327
764,True,True,0.7336
765,True,True,0.9111
766,True,True,0.7903
767,True,True,0.856
768,True,True,0.8363
769,True,True,0.668
770,True,True,0.7175
771,True,True,0.7901
772,True,True,0.8756
773,True,True,0.5
774,True,True,0.7149
775,True,True,0.5461
776,True,True,0.7046
777,True,True,0.8447
778,True,True,0.7459
779,True,False,0.3838
780,True,False,0.2401
781,True,True,0.7683
782,True,True,0.7479
783,True,True,0.5
784,True,False,0.4138
785,True,False,0.4077
786,True,False,0.3002
787,True,False,0.4451
788,True,True,0.6995
789,True,False,0.3582
790,True,True,0.6096
791,True,True,0.5
792,True,False,0.3019
793,True,True,0.6201
794,True,False,0.3927
795,True,False,0.4061
796,True,False,0.4483
797,True,False,0.4857
798,True,False,0.3577
799,True,False,0.3613
800,True,True,0.5645
801,True,True,0.5
802,True,True,0.5
803,True,True,0.5
804,True,True,0.7508
805,True,False,0.2048
806,True,True,0.8032
807,True,True,0.6498
808,True,True,0.7813
809,True,True,0.8509
810,True,True,0.5
811,True,False,0.3498
812,True,True,0.7875
813,True,True,0.7959
814,True,True,0.5
815,True,True,0.5
816,True,False,0.2522
817,True,True,0.5
818,True,True,0.7347
819,True,False,0.4265
820,True,False,0.4343
821,True,True,0.5
822,True,True,0.5089
823,True,False,0.3852
824,True,True,0.5124
825,True,True,0.5611
826,True,False,0.3963
827,True,True,0.5
828,True,False,0.1784
829,True,False,0.4004
830,True,False,0.1845
831,True,True,0.8103
832,True,False,0.2515
833,True,False,0.4758
834,True,True,0.8028
835,True,False,0.3557
836,True,False,0.4203
837,True,False,0.3109
838,True,False,0.2762
839,True,False,0.4985
840,True,True,0.5929
841,True,False,0.3055
842,True,False,0.2352
843,True,False,0.2056
844,True,False,0.4929
845,True,True,0.9855
846,True,True,0.971
847,True,True,0.981
848,True,True,0.9127
849,True,True,0.9604
850,True,True,0.9562
851,True,True,0.919
852,True,True,0.9333
853,True,True,0.7917
854,True,True,0.5
855,True,True,0.5
856,True,True,0.8904
857,True,True,0.8933
858,True,True,0.9745
859,True,True,0.9355
860,True,True,0.8191
861,True,True,0.6631
862,True,True,0.8534
863,True,True,0.6164
864,True,True,0.9442
865,True,True,0.6366
866,True,True,0.6077
867,True,True,0.6118
868,True,False,0.3901
869,True,True,0.6165
870,True,True,0.8191
871,True,True,0.5145
872,True,True,0.5
873,True,True,0.9392
874,True,True,0.9404
875,True,True,0.7115
876,True,True,0.8969
877,True,True,0.8993
878,True,True,0.9489
879,True,True,0.9362
880,True,True,0.8248
881,True,True,0.8176
882,True,True,0.5
883,True,True,0.5875
884,True,True,0.6181
885,True,False,0.2779
886,True,True,0.526
887,True,True,0.5
888,True,True,0.7081
889,True,True,0.8417
890,True,True,0.5774
891,True,False,0.3432
892,True,True,0.5
893,True,True,0.9122
894,True,True,0.5
895,True,True,0.6639
896,True,True,0.8778
897,True,True,0.9503
898,True,True,0.5
899,True,True,0.9041
900,True,True,0.9772
901,True,True,0.5468
902,True,False,0.3581
903,True,True,0.8397
904,True,True,0.9243
905,True,True,0.8732
906,True,True,0.8446
907,True,True,0.7336
908,True,True,0.5
909,True,False,0.4947
910,True,True,0.6449
911,True,True,0.7988
912,True,True,0.6222
913,True,True,0.6098
914,True,False,0.4602
915,True,True,0.8244
916,True,True,0.5
917,True,True,0.5
918,True,True,0.9874
919,True,True,0.9882
920,True,True,0.9817
921,True,True,0.5
922,True,True,0.7726
923,True,True,0.5325
924,True,True,0.7256
925,True,True,0.7174
926,True,False,0.4393
927,True,True,0.6242
928,True,True,0.7262
929,True,True,0.5
930,True,True,0.775
931,True,True,0.6412
932,True,True,0.9423
933,True,True,0.888
934,True,True,0.8707
935,True,True,0.5
936,True,True,0.8598
937,True,True,0.5
938,True,True,0.8465
939,True,True,0.5
940,True,True,0.814
941,True,True,0.8174
942,True,True,0.8798
943,True,True,0.8801
944,True,True,0.5
945,True,True,0.8637
946,True,True,0.8549
947,True,True,0.8996
948,True,True,0.8003
949,True,True,0.8387
950,True,True,0.8655
951,True,True,0.8197
952,True,True,0.5
953,True,True,0.6387
954,True,True,0.7671
955,True,True,0.775
956,True,True,0.6951
957,True,True,0.7154
958,True,True,0.645
959,True,True,0.8036
960,True,True,0.9175
961,True,True,0.9065
962,True,True,0.9501
963,True,True,0.6237
964,True,True,0.8757
965,True,True,0.5
966,True,True,0.5
967,True,True,0.6018
968,True,True,0.8656
969,True,True,0.8334
970,True,True,0.724
971,True,True,0.5
972,True,True,0.894
973,True,True,0.8986
974,True,True,0.6668
975,True,True,0.8781
976,True,True,0.5
977,True,False,0.4837
978,True,True,0.5448
979,True,True,0.7745
980,True,True,0.7035
981,True,False,0.3476
982,True,True,0.7208
983,True,True,0.6029
984,True,True,0.7053
985,True,True,0.6766
986,True,True,0.6576
987,True,True,0.5971
988,True,True,0.5378
989,True,True,0.9008
990,True,True,0.8542
991,True,True,0.9381
992,True,True,0.5
993,True,True,0.8334
994,True,True,0.9547
995,True,True,0.9359
996,True,True,0.9868
997,True,True,0.9886
998,True,True,0.9878
999,True,True,0.9739
1000,True,True,0.5
1001,True,True,0.994
1002,True,True,0.9763
1003,True,True,0.9593
1004,True,True,0.974
1005,True,True,0.9765
1006,True,True,0.9825
1007,True,True,0.9242
1008,True,True,0.5
1009,True,True,0.9863
1010,True,True,0.9909
1011,True,True,0.9642
1012,True,True,0.9642
1013,True,True,0.9664
1014,True,True,0.9775
1015,True,True,0.9737
1016,True,True,0.967
1017,True,True,0.9683
1018,True,True,0.5
1019,True,True,0.5
1020,True,True,0.9027
1021,True,True,0.9034
1022,True,True,0.9746
1023,True,True,0.9788
1024,True,True,0.9364
1025,True,True,0.6292
1026,True,True,0.7424
1027,True,True,0.7589
1028,True,True,0.5686
1029,True,True,0.8657
1030,True,True,0.9361
1031,True,True,0.595
1032,True,True,0.7986
1033,True,True,0.8119
1034,True,True,0.5
1035,True,True,0.7094
1036,True,True,0.5
1037,True,True,0.6374
1038,True,True,0.643
1039,True,True,0.7753
1040,True,True,0.7773
1041,True,True,0.9245
1042,True,True,0.8526
1043,True,True,0.5
1044,True,False,0.3095
1045,True,True,0.5
1046,True,True,0.9071
1047,True,True,0.8053
1048,True,True,0.864
1049,True,True,0.5
1050,True,True,0.5
1051,True,True,0.664
1052,True,True,0.5
1053,True,True,0.6684
1054,True,True,0.5
1055,True,True,0.696
1056,True,True,0.8547
1057,True,True,0.838
1058,True,True,0.6834
1059,True,True,0.8322
1060,True,True,0.7653
1061,True,True,0.8446
1062,True,True,0.8088
1063,True,True,0.9531
1064,True,True,0.8879
1065,True,True,0.5
1066,True,True,0.5
1067,True,True,0.5558
1068,True,True,0.5
1069,True,True,0.9018
1070,True,True,0.8016
1071,True,True,0.8953
1072,True,True,0.5
1073,True,True,0.7115
1074,True,True,0.892
1075,True,True,0.7317
1076,True,True,0.5
1077,True,True,0.9806
1078,True,True,0.9724
1079,True,True,0.9815
1080,True,True,0.7969
1081,True,True,0.95
1082,True,True,0.5
1083,True,True,0.5
1084,True,True,0.8336
1085,True,False,0.4047
1086,True,False,0.4047
1087,True,True,0.5
1088,True,True,0.5
1089,True,True,0.6113
1090,True,False,0.4249
1091,True,True,0.5614
1092,True,True,0.5
1093,True,True,0.5
1094,True,False,0.2257
1095,True,True,0.6286
1096,True,True,0.5
1097,True,True,0.7515
1098,True,True,0.7515
1099,True,True,0.716
1100,True,True,0.5641
1101,True,True,0.6959
1102,True,True,0.7694
1103,True,True,0.7855
1104,True,True,0.7424
1105,True,True,0.7312
1106,True,True,0.7046
1107,True,True,0.7187
1108,True,True,0.9579
1109,True,True,0.6463
1110,True,True,0.887
1111,True,True,0.5
1112,True,True,0.6112
1113,True,True,0.548
1114,True,False,0.4071
1115,True,True,0.9802
1116,True,True,0.5
1117,True,True,0.5
1118,True,True,0.9513
1119,True,True,0.906
1120,True,True,0.5
1121,True,True,0.5
1122,True,True,0.9631
1123,True,True,0.9626
1124,True,True,0.88
1125,True,True,0.963
1126,True,True,0.9751
1127,True,True,0.9451
1128,True,True,0.9802
1129,True,True,0.9829
1130,True,True,0.5
1131,True,True,0.9032
1132,True,True,0.5
1133,True,True,0.8705
1134,True,True,0.8428
1135,True,True,0.5
1136,True,True,0.8434
1137,True,True,0.5
1138,True,True,0.9092
1139,True,True,0.5
1140,True,False,0.1349
1141,True,False,0.2669
1142,True,False,0.2877
1143,True,False,0.1377
1144,True,True,0.5817
1145,True,True,0.5
1146,True,False,0.2866
1147,True,True,0.837
1148,True,False,0.3977
1149,True,True,0.6015
1150,True,True,0.7821
1151,True,True,0.8499
1152,True,True,0.6848
1153,True,True,0.6146
1154,True,True,0.8369
1155,True,True,0.6704
1156,True,True,0.6048
1157,True,True,0.5
1158,True,False,0.3841
1159,True,True,0.7014
1160,True,True,0.5
1161,True,True,0.5
1162,True,True,0.9196
1163,True,True,0.6301
1164,True,True,0.5
1165,True,True,0.55
1166,True,True,0.8956
1167,True,True,0.9233
1168,True,True,0.8237
1169,True,True,0.7346
1170,True,True,0.7081
1171,True,True,0.6486
1172,True,False,0.2729
1173,True,True,0.5
1174,True,False,0.3909
1175,True,False,0.1884
1176,True,False,0.0633
1177,True,False,0.1935
1178,True,False,0.0865
1179,True,False,0.1279
1180,True,True,0.9601
1181,True,True,0.5
1182,True,True,0.9109
1183,True,True,0.9263
1184,True,True,0.9288
1185,True,True,0.984
1186,True,True,0.9854
1187,True,True,0.5
1188,True,True,0.5
1189,True,True,0.5
1190,True,True,0.9741
1191,True,True,0.5
1192,True,True,0.9732
1193,True,True,0.9525
1194,True,True,0.5
1195,True,True,0.8947
1196,True,True,0.5969
1197,True,True,0.7914
1198,True,True,0.7848
1199,True,True,0.8154
1200,True,True,0.7124
1201,True,True,0.6576
1202,True,True,0.8738
1203,True,True,0.8201
1204,True,True,0.5
1205,True,True,0.5
1206,True,False,0.418
1207,True,True,0.8731
1208,True,True,0.5
1209,True,True,0.5496
1210,True,True,0.7666
1211,True,True,0.6386
1212,True,True,0.5
1213,True,True,0.5
1214,True,True,0.5
1215,True,True,0.9042
1216,True,True,0.6395
1217,True,True,0.7852
1218,True,True,0.6982
1219,True,True,0.7036
1220,True,True,0.8797
1221,True,True,0.7427
1222,True,True,0.8354
1223,True,True,0.8232
1224,True,True,0.8386
1225,True,True,0.5
1226,True,True,0.7852
1227,True,True,0.8673
1228,True,True,0.8084
1229,True,True,0.6845
1230,True,True,0.5875
1231,True,True,0.8767
1232,True,False,0.3597
1233,True,True,0.781
1234,True,True,0.8808
1235,True,True,0.9542
1236,True,True,0.9707
1237,True,True,0.8415
1238,True,True,0.5
1239,True,True,0.5878
1240,True,True,0.5878
1241,True,True,0.9059
1242,True,True,0.7635
1243,True,True,0.8332
1244,True,True,0.7637
1245,True,True,0.8132
1246,True,True,0.9105
1247,True,True,0.5
1248,True,True,0.8501
1249,True,True,0.8564
1250,True,True,0.863
1251,True,True,0.8222
1252,True,True,0.8271
1253,True,True,0.8495
1254,True,True,0.5
1255,True,False,0.3102
1256,True,True,0.5
1257,True,True,0.864
1258,True,True,0.5
1259,True,False,0.3923
1260,True,True,0.7361
1261,True,True,0.7612
1262,True,True,0.7268
1263,True,True,0.6179
1264,True,True,0.6796
1265,True,True,0.5
1266,True,False,0.4437
1267,True,True,0.5866
1268,True,True,0.5
1269,True,True,0.9365
1270,True,True,0.6025
1271,True,True,0.8119
1272,True,True,0.8201
1273,True,True,0.6823
1274,True,True,0.8793
1275,True,True,0.6685
